"f_proposer_index","f_slot","f_graffiti","f_pool_name"
395808,4706977,"RP-XT v1.6.3","rocket_pool"
281484,4707279,"Rocket Pool ⚡️Allnodes","rocket_pool"
268140,4707400,"RP-GL v1.6.3","rocket_pool"
312150,4707523,"RP-GL v1.6.2","rocket_pool"
268323,4707630,"RP-BT v1.6.3 gw:685491ff7b4c","rocket_pool"
315218,4707642,"RP-BT v1.6.3","rocket_pool"
313899,4707669,"RP-GN v1.6.2 gw:658492ffc691","rocket_pool"
267625,4707768,"Rocket Pool ⚡️Allnodes","rocket_pool"
403334,4707789,"RP-BT v1.6.3 (BeetBurger)","rocket_pool"
405756,4707859,"RP-XT v1.6.3","rocket_pool"
299470,4707937,"RP-GL v1.6.2","rocket_pool"
267947,4708053,"RP-XL v1.6.3 gw:667497ffb87c","rocket_pool"
312402,4708151,"RP-GL v1.6.3","rocket_pool"
314199,4708192,"RP-GN v1.6.2 gw:676492ffac7c","rocket_pool"
299518,4708210,"RP-GL v1.6.3 (bohlin.eth)","rocket_pool"
313303,4708237,"RP-GN v1.6.2 gw:667491ffa173","rocket_pool"
308924,4708293,"Rocket Pool ⚡️Allnodes","rocket_pool"
279387,4708438,"RP-BT v1.6.2","rocket_pool"
411418,4708600,"teku/v22.9.0","rocket_pool"
284392,4708765,"RP-XT v1.6.3","rocket_pool"
302363,4708911,"RP-GN v1.6.2 gw:659498ffb26e","rocket_pool"
422047,4708935,"RP-XT v1.6.3","rocket_pool"
286993,4708988,"RP-GL v1.6.2 (all in baby)","rocket_pool"
267529,4709017,"RP-GL v1.6.3 (Answer is 42)","rocket_pool"
313368,4709047,"RP-GN v1.6.2 gw:658469ffa375","rocket_pool"
270667,4709056,"Rocket Pool ⚡️Allnodes","rocket_pool"
331347,4709133,"","rocket_pool"
344592,4709193,"RP-GT v1.6.3 (MR x KOC)","rocket_pool"
267529,4709323,"RP-GL v1.6.3 (Answer is 42)","rocket_pool"
411330,4709361,"RP-XT v1.6.3","rocket_pool"
362095,4709483,"RP-GL v1.6.3 gw:672506ff9957","rocket_pool"
271840,4709590,"RP-BL v1.6.3","rocket_pool"
275820,4709653,"RP-GN v1.6.2 gw:645482ffbb74","rocket_pool"
412187,4709763,"","rocket_pool"
301589,4709909,"RP-GN v1.6.2 gw:676503ff7a40","rocket_pool"
325123,4709962,"RP-GN v1.6.2 gw:665460ffd897","rocket_pool"
376735,4710173,"RP-GL v1.6.3","rocket_pool"
327918,4710238,"RP-GL v1.6.3","rocket_pool"
312978,4710277,"(o0o Dinochrome Brigade o0o)","rocket_pool"
265502,4710429,"RP-XL v1.6.3 gw:654472ffaf77","rocket_pool"
273566,4710538,"RP-GT v1.6.3 (jackiepoo.eth)","rocket_pool"
335029,4710621,"RP-BL v1.6.3","rocket_pool"
261771,4710639,"","rocket_pool"
274594,4710729,"RP-GL v1.6.3","rocket_pool"
315094,4710903,"RP-GN v1.6.2 gw:677500ffa06a","rocket_pool"
261668,4711179,"RP-GL v1.6.3","rocket_pool"
411316,4711292,"RP-XT v1.6.3","rocket_pool"
397284,4711319,"Rocket Pool ⚡️Allnodes","rocket_pool"
395769,4711628,"RP-XT v1.6.3","rocket_pool"
412643,4711744,"Rocket Pool ⚡️Allnodes","rocket_pool"
399514,4711775,"RP-XT v1.6.3","rocket_pool"
269537,4711788,"Rocket Pool ⚡️Allnodes","rocket_pool"
416856,4711895,"RP-BL v1.6.3 (D was here)","rocket_pool"
267964,4711933,"RP-XL v1.6.3 gw:653499ffd6af","rocket_pool"
399086,4711940,"RP-GL v1.6.3","rocket_pool"
261351,4711947,"RP-XL v1.6.3 gw:662500ffb876","rocket_pool"
313301,4711972,"RP-GN v1.6.2 gw:649501ffb66a","rocket_pool"
415821,4712086,"RP Nimbus","rocket_pool"
323011,4712131,"RP-GN v1.6.2 gw:658508ffd692","rocket_pool"
261672,4712283,"RP-GL v1.6.3","rocket_pool"
388746,4712286,"RP-NN v1.6.2 (etretien)","rocket_pool"
271080,4712292,"RP-GL v1.6.3","rocket_pool"
308924,4712295,"Rocket Pool ⚡️Allnodes","rocket_pool"
393445,4712355,"Rocket Pool ⚡️Allnodes","rocket_pool"
307257,4712361,"RP-GN v1.6.2 gw:672472ff9874","rocket_pool"
272086,4712482,"RP-GN v1.6.2 gw:665461ffd58f","rocket_pool"
412722,4712713,"RP-NN v1.6.3 (<3 Ali&Adrienne)","rocket_pool"
332410,4712821,"RP-GP v1.6.3","rocket_pool"
313390,4712972,"RP-GL v1.6.3","rocket_pool"
273247,4713128,"RP-XP v1.6.2 (Meong)","rocket_pool"
393756,4713151,"RP-XT v1.6.3","rocket_pool"
274582,4713177,"Rocket Pool ⚡️Allnodes","rocket_pool"
260605,4713199,"RP-GL v1.6.3 gw:662491ffaf72","rocket_pool"
418131,4713216,"RP-BL v1.6.3","rocket_pool"
268412,4713246,"RP-GL v1.6.3 gw:682473ff6a56","rocket_pool"
292707,4713279,"RP-BT v1.6.3 gw:663487ffffff","rocket_pool"
352119,4713527,"Avado","rocket_pool"
329431,4713755,"RP-GN v1.6.2 gw:649475ffa26b","rocket_pool"
315109,4714052,"RP-GL v1.6.2","rocket_pool"
269459,4714082,"RP-GP v1.6.3","rocket_pool"
384713,4714096,"RP-GL v1.6.2","rocket_pool"
271195,4714150,"Rocket Pool ⚡️Allnodes","rocket_pool"
272643,4714171,"RP-GL v1.6.3 (LSnode)","rocket_pool"
273222,4714282,"RP-XP v1.6.2 (Meong)","rocket_pool"
326762,4714348,"RP-GL v1.6.3","rocket_pool"
393754,4714412,"RP-XT v1.6.3","rocket_pool"
292276,4714521,"RP-GL v1.6.3","rocket_pool"
410770,4714582,"RP-GL v1.6.3 (nomnom)","rocket_pool"
405780,4714611,"RP-XT v1.6.3","rocket_pool"
261768,4714621,"RP-GN v1.6.3","rocket_pool"
412623,4702081,"RP-NL v1.6.3 (teo)","rocket_pool"
362224,4704330,"RP-GL v1.6.3 gw:661495ffaf6e","rocket_pool"
422055,4714926,"RP-XT v1.6.3","rocket_pool"
272641,4715011,"RP-NN v1.6.3 (meek was here)","rocket_pool"
349319,4715195,"RP-GL v1.6.2 (bluongy)","rocket_pool"
267918,4714795,"RP-GL v1.6.3 gw:652468ff9364","rocket_pool"
256442,4714801,"RP Lighthouse","rocket_pool"
306329,4714832,"RP-GL v1.6.3","rocket_pool"
267910,4714893,"RP-NL v1.6.3 gw:665485ffffff","rocket_pool"
312966,4715055,"RP-BL v1.6.3 (no rulers)","rocket_pool"
262964,4715076,"RP-BL v1.6.3","rocket_pool"
293405,4715128,"buttfart","rocket_pool"
263093,4715177,"RP-GL v1.6.3","rocket_pool"
399533,4715202,"RP-XT v1.6.3","rocket_pool"
279917,4715206,"RP-BT v1.6.2","rocket_pool"
278085,4715264,"RP-XT v1.6.3","rocket_pool"
402934,4715592,"RP-NN v1.6.3 (<3 Ali&Adrienne)","rocket_pool"
